polygon_id,longitude,latitude,phase_angle,incidence_angle,emission_angle,pixel_x,pixel_y,brightness_temperature,local_solar_time,local_solar_time_normal_vector
8,139.01,37.739,4.111,77.145,78.45,131,81,286.02,9.274,11.471
9,139.356,38.265,4.075,77.08,78.354,132,81,286.22,9.297,11.573
10,139.928,38.072,4.06,56.832,56.621,132,81,286.22,9.335,14.053
11,140.284,38.609,4.023,58.886,60.349,133,81,275.82,9.359,11.885
12,140.881,38.388,4.008,61.523,63.114,133,81,275.82,9.398,11.585
13,141.362,39.013,3.975,65.837,68.323,134,81,276.89,9.431,9.973
14,141.996,38.805,3.963,68.188,70.736,134,81,276.89,9.473,9.686
15,142.526,39.465,3.932,68.489,71.079,135,81,289.46,9.508,9.606
16,143.16,39.254,3.922,73.721,76.443,135,81,289.46,9.55,8.947
17,143.899,39.529,3.892,64.832,66.036,136,81,279.14,9.6,12.184
18,144.046,40.06,3.873,57.839,60.261,136,81,279.14,9.609,10.579
19,145.029,39.961,3.846,59.975,62.629,137,81,271.36,9.675,10.123
20,145.228,40.527,3.829,60.621,63.125,137,80,274.69,9.688,10.284
21,146.226,40.419,3.804,62.75,65.456,138,81,272.47,9.755,9.847
22,146.429,40.993,3.785,65.663,67.728,138,80,275.5,9.768,10.596
23,147.432,40.865,3.759,66.053,68.158,139,80,275.16,9.835,10.479
24,147.639,41.43,3.738,67.781,69.552,139,80,275.16,9.849,10.992
25,148.645,41.27,3.711,66.85,68.46,140,80,271.23,9.916,11.349
26,148.865,41.838,3.689,65.2,67.143,140,80,271.23,9.931,10.814
27,149.885,41.654,3.662,64.417,66.235,141,80,271.32,9.999,11.065
28,150.135,42.241,3.643,62.635,64.863,141,80,271.32,10.015,10.484
29,151.166,42.033,3.616,61.125,63.152,142,80,272.84,10.084,10.875
30,151.44,42.632,3.597,59.697,62.114,142,80,272.84,10.102,10.37
31,152.48,42.405,3.572,61.007,63.529,143,80,270.29,10.172,10.106
32,152.773,43.014,3.556,60.486,63.21,143,80,270.29,10.191,9.867
33,153.814,42.765,3.529,55.207,57.421,144,80,272.74,10.261,10.893
34,154.123,43.365,3.512,55.699,57.793,144,79,275.49,10.281,11.057
35,155.167,43.089,3.483,55.745,57.826,145,80,272.52,10.351,11.046
36,155.491,43.687,3.465,56.388,58.32,145,79,274.38,10.373,11.259
37,156.538,43.396,3.436,57.521,59.583,146,80,273.98,10.442,10.969
38,156.88,43.997,3.417,58.516,60.354,147,79,275.66,10.465,11.31
39,157.93,43.688,3.388,59.536,61.492,147,80,273.72,10.535,11.026
40,158.292,44.282,3.37,59.921,61.797,148,79,273.67,10.559,11.165
41,159.342,43.958,3.341,60.59,62.532,148,80,273.66,10.629,10.979
42,159.726,44.552,3.323,60.471,62.45,149,79,274.54,10.655,10.935
43,160.77,44.22,3.295,60.335,62.281,149,80,273.94,10.724,10.971
44,161.176,44.817,3.277,60.358,62.307,150,79,275.58,10.751,10.98
45,162.217,44.465,3.249,60.11,62.013,150,79,275.58,10.821,11.047
46,162.637,45.045,3.229,63.091,64.407,151,79,276.02,10.849,12.162
47,163.669,44.666,3.2,64.865,66.44,151,79,276.02,10.918,11.485
48,164.111,45.241,3.18,64.758,66.362,152,79,272.81,10.947,11.442
49,165.141,44.859,3.153,66.849,68.693,152,79,272.81,11.016,10.733
50,165.607,45.439,3.133,66.801,68.662,153,79,272.44,11.047,10.712
51,166.621,45.052,3.108,68.597,70.621,153,79,272.44,11.114,10.175
52,167.107,45.636,3.09,68.297,70.401,154,79,275.61,11.147,10.038
53,168.101,45.228,3.064,62.8,64.315,154,79,275.61,11.213,11.7
54,168.613,45.808,3.045,60.5,62.539,155,79,277.41,11.247,10.695
55,169.596,45.373,3.017,55.728,57.221,155,79,277.41,11.313,11.938
56,170.13,45.945,2.997,56.312,57.706,156,79,279.3,11.348,12.136
57,171.1,45.479,2.967,56.914,58.378,156,79,279.3,11.413,11.95
58,171.656,46.035,2.948,57.479,58.849,157,79,281.78,11.45,12.152
59,172.594,45.554,2.916,54.424,55.175,157,80,288.26,11.513,13.263
60,173.165,46.109,2.896,52.348,53.413,158,79,283.6,11.551,12.736
61,174.083,45.634,2.864,51.951,52.917,159,80,285.4,11.612,12.87
62,174.701,46.189,2.845,48.998,50.489,159,80,285.4,11.653,12.039
63,175.609,45.714,2.813,47.575,48.843,160,80,286.32,11.714,12.384
64,176.248,46.265,2.795,48.127,49.313,160,80,286.32,11.756,12.532
65,177.135,45.771,2.762,47.335,48.351,161,80,283.59,11.815,12.761
66,177.751,46.292,2.742,55.663,55.739,161,80,283.59,11.856,14.404
67,178.626,45.789,2.709,57.932,58.804,162,80,281.34,11.915,13.098
68,179.26,46.318,2.689,58.655,59.458,162,80,281.34,11.957,13.283
69,180.158,45.819,2.657,58.304,59.012,163,81,284.55,12.017,13.441
70,180.806,46.327,2.636,60.201,60.727,163,81,284.55,12.06,13.898
71,181.67,45.816,2.603,59.685,60.039,164,81,283.76,12.118,14.178
72,182.334,46.323,2.582,58.05,58.568,164,81,283.76,12.162,13.826
73,183.188,45.791,2.55,58.011,58.505,165,81,283.08,12.219,13.845
74,183.877,46.265,2.529,59.719,60.067,165,81,283.08,12.265,14.222
75,184.691,45.707,2.496,59.04,59.109,166,82,287.48,12.319,14.638
76,185.384,46.174,2.474,58.735,58.842,166,82,287.48,12.365,14.583
77,186.187,45.612,2.442,59.606,59.988,167,82,279.39,12.419,14.121
78,186.916,46.06,2.42,61.337,61.585,167,82,279.39,12.467,14.494
79,187.738,45.521,2.389,64.361,65.211,168,82,278.22,12.522,13.134
80,188.5,45.976,2.367,67.874,68.423,168,82,278.22,12.573,14.192
81,189.322,45.439,2.337,68.612,69.277,169,83,284.86,12.628,13.851
82,190.104,45.858,2.315,67.792,68.539,169,83,284.86,12.68,13.576
83,190.897,45.308,2.284,65.622,65.987,170,83,282.76,12.733,14.519
84,191.698,45.72,2.262,64.153,64.643,171,83,278.28,12.786,14.151
85,192.468,45.151,2.231,64.708,65.28,171,83,278.28,12.838,13.934
86,193.301,45.548,2.209,61.874,62.71,172,83,280.48,12.893,13.098
87,194.048,44.973,2.179,60.562,61.211,172,84,278.62,12.943,13.562
88,194.898,45.367,2.157,62.132,62.662,173,84,282.51,13.0,13.969
89,195.618,44.768,2.126,62.628,63.221,173,84,282.51,13.047,13.79
90,196.482,45.131,2.105,58.906,59.855,174,84,283.31,13.105,12.69
91,197.179,44.526,2.074,56.526,57.19,174,84,283.31,13.152,13.402
92,198.025,44.89,2.054,61.296,61.607,175,84,283.65,13.208,14.48
93,198.698,44.276,2.023,63.601,64.302,175,84,283.65,13.253,13.487
94,199.55,44.608,2.003,62.141,62.967,176,84,280.05,13.31,13.065
95,200.231,43.997,1.972,62.464,63.314,176,85,286.16,13.355,12.947
96,201.09,44.336,1.953,60.59,61.598,177,85,286.39,13.412,12.408
97,201.741,43.722,1.922,56.646,57.185,177,85,286.39,13.456,13.736
98,202.599,44.025,1.902,54.761,55.449,178,85,284.52,13.513,13.328
99,203.238,43.399,1.87,54.5,55.14,178,85,284.52,13.556,13.413
100,204.111,43.708,1.851,52.583,53.376,179,85,282.84,13.614,13.003
101,204.722,43.089,1.82,54.337,55.281,179,85,282.84,13.654,12.533
102,205.579,43.38,1.802,54.032,55.013,180,85,285.47,13.712,12.451
103,206.156,42.767,1.772,53.396,54.312,181,86,286.97,13.75,12.61
104,207.023,43.056,1.754,56.171,56.897,181,85,285.15,13.808,13.268
105,207.585,42.437,1.723,55.849,56.527,182,86,283.86,13.845,13.367
106,208.458,42.691,1.704,57.229,57.831,182,86,283.86,13.904,13.678
107,208.997,42.068,1.673,59.213,60.0,183,86,279.79,13.939,13.058
