polygon_id,longitude,latitude,phase_angle,incidence_angle,emission_angle,pixel_x,pixel_y,brightness_temperature,local_solar_time,local_solar_time_normal_vector
3604,94.645,59.184,10.070,97.342,87.810,201,59,305.680,18.661,18.799
3722,94.398,52.599,9.803,70.504,62.225,206,66,282.330,18.645,16.692
3723,94.995,53.425,9.827,75.504,69.368,206,65,275.010,18.684,16.476
3724,94.435,53.973,9.854,93.807,84.909,205,64,265.320,18.647,18.478
3731,93.136,58.886,10.068,95.077,85.540,201,59,305.680,18.561,18.643
3737,91.275,62.608,10.243,95.854,87.387,198,55,273.180,18.436,18.576
3738,90.273,63.090,10.270,92.587,84.625,197,54,263.940,18.370,18.269
3762,99.717,77.795,11.134,87.096,86.727,181,43,271.720,18.999,14.842
3763,100.406,78.661,11.195,87.044,85.857,180,43,268.830,19.045,15.643
3764,103.220,79.013,11.218,83.133,81.381,179,43,260.130,19.233,15.532
3765,104.264,79.856,11.278,83.392,84.040,178,42,274.860,19.302,13.284
3770,109.346,82.781,11.492,82.718,84.146,174,42,252.340,19.641,12.304
3771,108.352,83.651,11.554,83.375,89.121,172,43,317.160,19.575,8.574
3851,92.258,53.644,9.861,92.476,84.251,205,64,265.320,18.502,18.293
3852,93.028,54.068,9.868,82.770,74.067,205,64,265.320,18.553,17.647
3853,92.859,54.969,9.904,85.267,78.485,204,63,295.050,18.542,17.467
3865,88.393,62.752,10.269,86.904,79.022,197,54,263.940,18.244,17.804
3866,87.327,63.181,10.298,85.338,77.677,197,54,263.940,18.173,17.644
3867,88.048,64.045,10.336,87.869,82.787,196,53,261.550,18.221,17.386
3868,86.805,64.482,10.370,95.072,88.756,195,52,280.370,18.139,18.332
3881,93.634,72.485,10.784,79.424,74.697,188,45,294.710,18.594,16.471
3882,92.467,72.996,10.822,84.986,78.637,187,45,300.530,18.516,17.376
3883,93.157,73.799,10.871,91.160,88.881,186,44,265.690,18.562,17.038
3888,94.186,76.762,11.073,83.819,83.556,182,43,278.020,18.631,14.343
3889,95.742,77.524,11.123,83.689,83.331,181,43,271.720,18.734,14.436
3890,93.678,78.074,11.168,81.705,81.853,180,43,268.830,18.597,13.754
3891,96.097,78.838,11.215,80.460,79.599,179,43,260.130,18.758,14.605
3892,94.371,79.387,11.259,77.261,77.448,178,43,266.790,18.643,13.540
3893,97.135,80.144,11.306,76.016,75.154,177,43,261.880,18.827,14.294
3894,94.717,80.707,11.351,73.039,72.978,176,43,269.090,18.666,13.602
3895,97.280,81.453,11.399,75.616,77.499,176,42,268.600,18.837,12.084
3896,94.473,82.009,11.443,78.392,79.510,175,43,274.180,18.650,12.716
3897,98.264,82.731,11.489,80.891,83.714,174,43,297.010,18.902,10.883
3898,96.045,83.256,11.530,75.061,79.872,173,43,312.560,18.754,9.989
3980,90.891,54.128,9.889,88.971,80.823,205,64,265.320,18.411,18.008
3995,84.967,63.989,10.359,91.562,85.249,196,53,261.550,18.016,17.983
4009,87.877,72.767,10.836,85.570,80.985,187,45,300.530,18.210,17.032
4010,89.528,73.145,10.848,73.949,68.159,186,45,307.850,18.320,16.317
4011,88.539,74.012,10.910,76.940,75.057,185,44,275.760,18.254,15.002
4012,90.479,74.382,10.924,81.245,79.783,185,44,275.760,18.383,15.121
4013,91.014,75.228,10.979,81.184,79.669,184,44,278.890,18.419,15.155
4014,89.334,75.708,11.020,85.510,82.747,183,44,285.540,18.307,16.386
4015,90.791,76.499,11.068,88.011,87.807,182,43,278.020,18.404,14.750
4016,88.474,76.973,11.111,83.301,84.135,181,43,271.720,18.250,12.984
4017,89.763,77.788,11.162,82.594,82.729,180,43,268.830,18.336,13.807
4018,87.392,78.262,11.206,79.121,80.112,179,43,260.130,18.178,12.794
4019,87.255,79.138,11.266,78.756,79.391,178,43,266.790,18.169,13.149
4020,89.806,79.543,11.284,75.641,75.904,178,43,266.790,18.339,13.418
4021,89.859,80.429,11.345,75.314,75.209,177,43,261.880,18.342,13.696
4022,87.183,80.901,11.387,65.914,68.457,176,43,269.090,18.164,11.918
4023,89.174,81.733,11.437,64.438,65.536,175,43,274.180,18.296,12.772
4024,86.464,82.185,11.477,54.016,58.365,174,43,297.010,18.116,11.486
4123,81.921,63.848,10.379,94.548,87.295,195,52,280.370,17.813,18.363
4137,84.882,72.824,10.860,86.689,82.027,186,45,307.850,18.010,17.172
4138,83.509,73.309,10.901,79.840,77.461,185,45,281.370,17.919,15.530
4139,85.445,74.126,10.939,80.165,78.001,185,45,281.370,18.048,15.447
4140,84.100,74.631,10.981,78.999,77.292,184,44,278.890,17.958,15.058
4141,85.909,75.417,11.020,77.675,75.174,183,44,285.540,18.079,15.402
4142,84.102,75.919,11.065,74.487,73.069,182,44,275.950,17.958,14.543
4143,85.234,76.678,11.108,78.549,79.306,181,44,273.210,18.034,13.015
4144,82.763,77.177,11.157,79.804,80.224,180,44,248.970,17.869,13.369
4145,83.624,77.944,11.203,80.939,81.911,179,44,267.410,17.926,12.800
4146,80.963,78.450,11.252,82.296,82.862,178,44,300.390,17.749,13.280
4147,82.616,79.253,11.296,82.030,82.472,178,43,266.790,17.859,13.420
4148,80.210,79.772,11.343,78.931,80.614,177,44,287.390,17.699,12.092
4149,82.380,80.574,11.385,79.992,82.163,176,44,268.170,17.844,11.547
4266,80.431,73.358,10.929,86.979,84.086,185,45,281.370,17.714,16.624
4267,78.984,74.247,10.997,88.419,86.723,183,45,283.780,17.617,16.207
4268,80.778,74.702,11.011,83.813,81.706,183,44,285.540,17.737,15.808
4269,80.733,75.573,11.066,84.157,82.335,182,44,275.950,17.734,15.675
4270,78.718,76.008,11.110,79.208,78.938,181,44,273.210,17.599,13.981
4271,79.614,76.848,11.157,80.199,80.616,180,44,248.970,17.659,13.375
4272,76.832,77.261,11.204,80.805,81.073,179,44,267.410,17.474,13.545
4273,77.279,78.094,11.253,81.254,81.815,178,44,300.390,17.503,13.251
4274,74.303,78.505,11.300,80.502,81.260,177,44,287.390,17.305,13.019
4275,75.490,79.381,11.346,81.724,83.234,176,44,268.170,17.384,12.157
4276,72.734,79.811,11.390,80.603,82.516,176,44,268.170,17.201,11.759
4396,75.771,74.534,11.042,86.803,85.231,182,44,275.950,17.403,15.859
4397,73.777,75.262,11.105,86.635,86.132,181,44,273.210,17.270,14.863
4398,75.127,75.854,11.130,86.173,85.596,181,44,273.210,17.360,14.886
4399,73.866,76.688,11.192,86.064,86.402,180,44,248.970,17.276,13.721
4400,71.002,76.906,11.230,86.245,86.548,179,44,267.410,17.085,13.781
4401,70.946,77.886,11.289,86.197,86.925,178,44,300.390,17.081,13.140
4481,84.055,46.233,9.622,93.154,86.176,210,70,260.240,17.955,18.200
4483,83.390,47.707,9.684,97.775,89.814,209,68,233.120,17.911,18.695
4489,83.175,52.087,9.865,96.196,88.819,205,64,265.320,17.896,18.516
4490,82.174,52.454,9.890,93.973,86.788,205,64,265.320,17.830,18.300
4497,79.469,57.114,10.093,93.194,83.747,201,58,278.800,17.649,18.496
4498,78.470,57.430,10.115,77.653,69.386,200,58,314.990,17.583,17.181
4499,78.624,58.323,10.147,78.613,71.589,200,57,287.130,17.593,16.984
4500,77.435,58.646,10.176,94.576,86.049,199,56,276.610,17.514,18.484
4501,77.251,59.476,10.213,95.629,88.908,198,55,273.180,17.502,18.419
4502,75.826,59.702,10.241,95.167,88.485,198,55,273.180,17.407,18.371
